ticker,date,form_type,total_words,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_litigious,lm_sentiment_score,lm_neg_pct_qoq_delta,lm_uncertain_pct_qoq_delta,lm_sentiment_score_qoq_delta,anomalies,anomaly_count,risk_level
KO,1994-03-14,10-K,5652,1.2562,0.3008,1.6631,25,0.9554,,,,[],0,NORMAL
KO,1994-05-06,10-Q,2312,2.5519,0.9083,0.5623,13,1.6436,201.96143617021272,-66.1896458421021,72.03265647896167,[],0,NORMAL
KO,1994-08-10,10-Q,2779,3.0946,0.7197,0.5398,23,2.375,-20.7640647363206,-4.001422728081109,44.49987831589195,[],0,NORMAL
KO,1994-11-14,10-Q,2981,3.0191,0.6709,0.5703,25,2.3482,-6.780603029039871,5.6502408299370295,-1.1284210526315854,[],0,NORMAL
KO,1995-05-11,10-Q,1860,3.4409,0.4839,0.4301,13,2.957,-27.87300640930094,-24.58355251621954,25.926241376373394,[],0,NORMAL
KO,1995-08-11,10-Q,2278,3.1168,0.2195,0.5707,18,2.8973,-54.63938830336846,32.69007207626133,-2.018938112952312,[],0,NORMAL
KO,1995-11-13,10-Q,2518,2.9786,0.1589,0.7546,19,2.8197,-27.60820045558086,32.22358507096549,-2.6783557104890723,[],0,NORMAL
KO,1996-05-10,10-Q,2002,3.1469,0.7493,0.5495,11,2.3976,371.5544367526745,-27.179962894248614,-14.969677625279282,[],0,NORMAL
KO,1996-08-13,10-Q,2399,3.0429,0.3335,0.6253,16,2.7095,-55.49179233951688,13.7943585077343,13.008842175508825,[],0,NORMAL
KO,1996-11-14,10-Q,4144,2.4373,0.8446,1.2066,23,1.5927,153.25337331334333,92.96337757876219,-41.21793688872486,"['Uncertainty', 'Sentiment Score', 'Positive Language']",3,HIGH
KO,1997-05-13,10-Q,2047,2.8334,0.7328,0.6351,13,2.1006,-13.23703528297419,-47.364495275982094,31.88924467884724,[],0,NORMAL
