date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
1994-01-27,8-K,0000021344-94-000004,2,5,0,1,0,0.6349,1.5873,0.0,-0.9524,315
1994-03-14,10-K,0000950144-94-000600,71,17,94,25,19,1.2562,0.3008,1.6631,0.9554,5652
1994-05-06,10-Q,0000021344-94-000012,59,21,13,13,7,2.5519,0.9083,0.5623,1.6436,2312
1994-08-10,10-Q,0000021344-94-000024,86,20,15,23,8,3.0946,0.7197,0.5398,2.375,2779
1994-11-14,10-Q,0000021344-94-000031,90,20,17,25,9,3.0191,0.6709,0.5703,2.3482,2981
1995-05-11,10-Q,0000021344-95-000018,64,9,8,13,4,3.4409,0.4839,0.4301,2.957,1860
1995-08-11,10-Q,0000021344-95-000033,71,5,13,18,4,3.1168,0.2195,0.5707,2.8973,2278
1995-11-13,10-Q,0000021344-95-000041,75,4,19,19,4,2.9786,0.1589,0.7546,2.8197,2518
1996-05-10,10-Q,0000021344-96-000012,63,15,11,11,3,3.1469,0.7493,0.5495,2.3976,2002
1996-08-13,10-Q,0000021344-96-000015,73,8,15,16,5,3.0429,0.3335,0.6253,2.7095,2399
1996-11-14,10-Q,0000021344-96-000026,101,35,50,23,5,2.4373,0.8446,1.2066,1.5927,4144
1997-05-13,10-Q,0000021344-97-000019,58,15,13,13,5,2.8334,0.7328,0.6351,2.1006,2047
1997-08-14,10-Q,0000021344-97-000027,83,12,39,16,7,2.7694,0.4004,1.3013,2.369,2997
1997-10-24,8-K,0000021344-97-000029,0,0,0,1,0,0.0,0.0,0.0,0.0,133
1997-11-13,10-Q,0000021344-97-000034,98,29,68,24,7,2.3978,0.7096,1.6638,1.6883,4087
1998-03-09,10-K,0000021344-98-000004,6,0,7,1,1,0.7989,0.0,0.9321,0.7989,751
1998-05-12,10-Q,0000021344-98-000007,54,18,10,1,5,3.1088,1.0363,0.5757,2.0725,1737
1998-08-14,10-Q,0000021344-98-000010,76,19,53,3,9,2.1505,0.5376,1.4997,1.6129,3534
1998-11-12,10-Q,0000021344-98-000016,89,46,113,8,13,1.7191,0.8885,2.1827,0.8306,5177
1998-12-15,8-K,0000021344-98-000020,0,0,2,1,0,0.0,0.0,1.2121,0.0,165
1999-03-29,10-K,0000021344-99-000005,6,0,6,1,1,0.8996,0.0,0.8996,0.8996,667
1999-05-12,10-Q,0000021344-99-000009,0,0,0,0,0,0.0,0.0,0.0,0.0,27
1999-08-12,10-Q,0000021344-99-000015,65,54,80,12,18,1.3372,1.1109,1.6458,0.2263,4861
1999-11-03,10-Q,0000021344-99-000026,82,51,96,13,20,1.5227,0.9471,1.7827,0.5757,5385
1999-12-06,8-K,0000021344-99-000034,0,0,0,1,0,0.0,0.0,0.0,0.0,147
1999-12-21,8-K,0000021344-99-000038,0,0,0,1,0,0.0,0.0,0.0,0.0,93
2000-01-26,8-K,0000021344-00-000003,0,0,0,1,0,0.0,0.0,0.0,0.0,92
2000-02-18,8-K,0000021344-00-000005,0,0,0,1,0,0.0,0.0,0.0,0.0,107
2000-03-09,10-K,0000021344-00-000009,6,0,6,1,1,0.8119,0.0,0.8119,0.8119,739
2000-05-11,10-Q,0000021344-00-000014,0,0,0,0,0,0.0,0.0,0.0,0.0,27
