date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
1994-01-26,10-Q,0000320193-94-000002,84,27,51,0,10,2.8122,0.9039,1.7074,1.9083,2987
1994-08-12,10-Q,0000320193-94-000013,94,48,89,2,9,2.0769,1.0605,1.9664,1.0163,4526
1994-12-13,10-K,0000320193-94-000016,0,0,0,0,0,0.0,0.0,0.0,0.0,34
1995-02-09,10-Q,0000320193-95-000003,110,28,76,2,8,2.5143,0.64,1.7371,1.8743,4375
1995-05-15,10-Q,0000320193-95-000008,64,13,20,0,1,3.8811,0.7884,1.2129,3.0928,1649
1995-08-11,10-Q,0000320193-95-000011,68,9,23,0,1,4.0792,0.5399,1.3797,3.5393,1667
1995-12-19,10-K,0000320193-95-000016,0,0,0,0,0,0.0,0.0,0.0,0.0,31
1996-02-12,10-Q,0000320193-96-000002,143,70,119,7,14,2.3644,1.1574,1.9676,1.207,6048
1996-04-12,8-K,0000320193-96-000006,0,0,1,1,0,0.0,0.0,0.5155,0.0,194
1996-05-13,10-Q,0000320193-96-000011,154,76,134,7,16,2.1903,1.0809,1.9058,1.1094,7031
1996-06-17,8-K,0000320193-96-000014,0,0,1,1,0,0.0,0.0,0.463,0.0,216
1996-08-12,10-Q,0000320193-96-000018,155,84,135,7,14,2.0943,1.135,1.8241,0.9593,7401
1996-10-28,8-K,0000912057-96-023874,0,0,0,1,0,0.0,0.0,0.0,0.0,56
1996-12-13,8-K,0000320193-96-000021,0,2,8,1,0,0.0,0.4348,1.7391,-0.4348,460
1996-12-19,10-K,0000320193-96-000023,0,0,0,0,0,0.0,0.0,0.0,0.0,28
1996-12-24,8-K,0000320193-96-000027,0,0,3,1,0,0.0,0.0,1.9608,0.0,153
1997-02-10,10-Q,0000320193-97-000002,147,92,158,7,16,1.875,1.1735,2.0153,0.7015,7840
1997-04-10,8-K,0000320193-97-000007,0,0,0,1,0,0.0,0.0,0.0,0.0,64
1997-04-25,8-K,0000320193-97-000009,0,0,0,1,0,0.0,0.0,0.0,0.0,56
1997-05-12,10-Q,0000320193-97-000011,157,92,159,7,12,1.8305,1.0726,1.8538,0.7578,8577
1997-07-28,8-K,0000320193-97-000012,0,0,1,1,0,0.0,0.0,0.7752,0.0,129
1997-08-11,10-Q,0000320193-97-000014,171,85,166,7,16,1.8889,0.9389,1.8336,0.95,9053
1997-09-05,8-K,0000320193-97-000016,0,0,1,1,0,0.0,0.0,0.7752,0.0,129
1997-09-25,8-K,0000320193-97-000019,0,0,1,1,0,0.0,0.0,0.7752,0.0,129
1997-09-25,8-K,0000320193-97-000018,0,0,1,1,0,0.0,0.0,0.7752,0.0,129
1997-12-05,10-K,0001047469-97-006960,0,2,0,0,0,0.0,3.125,0.0,-3.125,64
1998-01-08,8-K,0000320193-98-000001,0,0,1,1,0,0.0,0.0,0.7752,0.0,129
1998-02-09,10-Q,0000320193-98-000003,17,6,13,0,2,1.824,0.6438,1.3948,1.1803,932
1998-05-11,10-Q,0000320193-98-000006,47,25,46,0,7,1.7932,0.9538,1.7551,0.8394,2621
1998-08-10,10-Q,0000320193-98-000008,50,26,51,0,5,1.6949,0.8814,1.7288,0.8136,2950
1998-12-23,8-K,0000320193-98-000010,1,0,1,1,5,0.3584,0.0,0.3584,0.3584,279
