date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
2015-10-22,8-K,0001652044-15-000003,0,2,2,2,3,0.0,0.554,0.554,-0.554,361
2015-10-29,10-Q,0001652044-15-000005,6,2,10,2,4,1.3514,0.4505,2.2523,0.9009,444
2015-11-19,8-K,0001652044-15-000007,0,2,4,2,1,0.0,0.5348,1.0695,-0.5348,374
2016-02-01,8-K,0001652044-16-000010,0,2,2,2,3,0.0,0.6601,0.6601,-0.6601,303
2016-02-11,10-K,0001652044-16-000012,11,0,20,2,5,1.4455,0.0,2.6281,1.4455,761
2016-04-12,8-K,0001193125-16-537992,0,2,2,2,1,0.0,0.9259,0.9259,-0.9259,216
2016-04-21,8-K,0001652044-16-000015,1,2,2,2,3,0.3049,0.6098,0.6098,-0.3049,328
2016-04-27,8-K,0001193125-16-559672,4,4,2,4,4,0.5755,0.5755,0.2878,0.0,695
2016-05-03,10-Q,0001652044-16-000021,6,2,10,2,4,1.4085,0.4695,2.3474,0.939,426
2016-05-03,8-K,0001652044-16-000022,0,3,11,3,4,0.0,0.3989,1.4628,-0.3989,752
2016-06-10,8-K,0001193125-16-619079,5,16,18,2,2,0.4566,1.4612,1.6438,-1.0046,1095
2016-06-29,8-K,0001193125-16-635647,2,2,3,2,1,0.2729,0.2729,0.4093,0.0,733
2016-07-28,8-K,0001652044-16-000029,1,2,2,2,3,0.3049,0.6098,0.6098,-0.3049,328
2016-08-04,10-Q,0001652044-16-000032,6,2,10,2,4,1.3953,0.4651,2.3256,0.9302,430
2016-08-09,8-K,0001193125-16-676835,0,2,2,2,1,0.0,0.905,0.905,-0.905,221
2016-10-27,8-K,0001652044-16-000035,0,2,2,2,3,0.0,0.6579,0.6579,-0.6579,304
2016-11-03,10-Q,0001652044-16-000038,6,2,10,2,4,1.4184,0.4728,2.3641,0.9456,423
2017-01-26,8-K,0001652044-17-000005,0,2,2,2,3,0.0,0.6515,0.6515,-0.6515,307
2017-02-03,10-K,0001652044-17-000008,12,0,21,2,5,1.7725,0.0,3.1019,1.7725,677
2017-04-27,8-K,0001652044-17-000011,19,4,18,2,3,1.3728,0.289,1.3006,1.0838,1384
2017-05-02,10-Q,0001652044-17-000014,10,2,13,2,4,2.0964,0.4193,2.7254,1.6771,477
2017-06-09,8-K,0001193125-17-200227,7,14,16,2,1,0.9537,1.9074,2.1798,-0.9537,734
