date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
1994-04-01,10-K,0000950123-94-000687,3,0,1,0,0,0.8043,0.0,0.2681,0.8043,373
1994-05-13,10-Q,0000200406-94-000004,49,13,4,1,3,3.4826,0.924,0.2843,2.5586,1407
1994-07-08,10-Q,0000200406-94-000006,53,17,4,3,6,3.1548,1.0119,0.2381,2.1429,1680
1994-07-08,10-Q,0000200406-94-000007,55,18,6,3,6,3.0088,0.9847,0.3282,2.0241,1828
1994-07-12,10-Q,0000200406-94-000011,50,12,3,1,3,3.5663,0.8559,0.214,2.7104,1402
1994-08-12,10-Q,0000200406-94-000012,52,6,6,1,2,3.4166,0.3942,0.3942,3.0223,1522
1994-10-05,8-K,0000950110-94-000299,32,2,14,1,1,2.0447,0.1278,0.8946,1.9169,1565
1994-11-14,10-Q,0000200406-94-000013,58,5,8,2,3,3.0672,0.2644,0.4231,2.8027,1891
1994-12-02,8-K,0000950110-94-000331,38,2,13,1,1,2.2989,0.121,0.7864,2.1779,1653
1995-05-12,10-Q,0000200406-95-000003,48,8,4,2,1,3.4682,0.578,0.289,2.8902,1384
1995-08-11,10-Q,0000200406-95-000005,63,4,3,1,1,3.6165,0.2296,0.1722,3.3869,1742
1995-11-13,10-Q,0000200406-95-000007,79,6,15,1,6,3.5284,0.268,0.6699,3.2604,2239
1996-03-08,8-K,0000950123-96-001060,10,2,7,1,0,0.8097,0.1619,0.5668,0.6478,1235
1996-05-10,10-Q,0000200406-96-000001,55,10,8,2,1,3.2758,0.5956,0.4765,2.6802,1679
1996-08-09,10-Q,0000200406-96-000003,56,7,5,1,1,3.1532,0.3941,0.2815,2.759,1776
1996-11-12,10-Q,0000200406-96-000005,60,6,6,1,1,3.104,0.3104,0.3104,2.7936,1933
1997-05-09,10-Q,0000200406-97-000001,49,7,8,1,2,3.1777,0.454,0.5188,2.7237,1542
1997-08-08,10-Q,0000200406-97-000009,30,6,5,1,4,2.2659,0.4532,0.3776,1.8127,1324
1997-11-07,10-Q,0000200406-97-000012,29,10,6,1,4,2.0597,0.7102,0.4261,1.3494,1408
1998-05-11,10-Q,0000200406-98-000002,20,9,9,1,2,2.103,0.9464,0.9464,1.1567,951
1998-08-07,10-Q,0000200406-98-000003,26,13,9,1,2,2.5048,1.2524,0.8671,1.2524,1038
1998-11-10,10-Q,0000200406-98-000005,26,12,9,1,2,2.5591,1.1811,0.8858,1.378,1016
1999-04-01,10-K,0000950123-99-002942,3,0,1,0,1,0.8357,0.0,0.2786,0.8357,359
1999-05-17,10-Q,0000200406-99-000002,21,6,6,2,1,2.4793,0.7084,0.7084,1.771,847
1999-08-13,10-Q,0000200406-99-000005,0,0,0,1,0,0.0,0.0,0.0,0.0,31
1999-11-16,10-Q,0000200406-99-000009,0,0,0,1,0,0.0,0.0,0.0,0.0,25
1999-12-14,8-K,0000200406-99-000010,0,1,0,1,0,0.0,0.6024,0.0,-0.6024,166
2000-05-15,10-Q,0000200406-00-000002,0,0,0,1,0,0.0,0.0,0.0,0.0,25
2000-08-15,10-Q,0000200406-00-000003,0,0,0,1,0,0.0,0.0,0.0,0.0,31
2000-10-31,10-Q,0000200406-00-000004,0,0,0,1,0,0.0,0.0,0.0,0.0,25
2001-03-14,8-K,0000200406-01-000001,0,0,0,1,0,0.0,0.0,0.0,0.0,144
2001-05-14,10-Q,0000200406-01-500003,43,15,19,2,2,2.1894,0.7637,0.9674,1.4257,1964
2001-08-15,10-Q,0000200406-01-500007,0,1,0,1,0,0.0,3.2258,0.0,-3.2258,31
2001-09-20,8-K,0000200406-01-500009,0,0,0,1,0,0.0,0.0,0.0,0.0,242
2001-10-22,8-K,0000950123-01-507432,0,0,0,1,0,0.0,0.0,0.0,0.0,108
2001-11-13,10-Q,0000200406-01-500010,45,19,15,3,2,2.2808,0.963,0.7603,1.3178,1973
2001-11-27,8-K,0000200406-01-500011,2,2,5,3,1,0.3643,0.3643,0.9107,0.0,549
2002-03-20,10-K,0000950123-02-002712,1,0,1,0,1,0.346,0.0,0.346,0.346,289
2002-04-16,8-K,0000200406-02-000003,0,0,0,1,0,0.0,0.0,0.0,0.0,65
2002-05-14,10-Q,0000200406-02-000005,31,16,13,2,1,2.1528,1.1111,0.9028,1.0417,1440
2002-08-12,10-Q,0000200406-02-000006,0,1,0,1,0,0.0,3.2258,0.0,-3.2258,31
2002-08-13,8-K,0000200406-02-000007,0,0,0,1,0,0.0,0.0,0.0,0.0,178
2002-10-23,8-K,0000200406-02-000009,0,0,0,1,0,0.0,0.0,0.0,0.0,145
2002-11-12,10-Q,0000200406-02-000010,0,1,0,1,0,0.0,3.8462,0.0,-3.8462,26
2002-12-04,8-K,0000200406-02-000011,0,0,0,1,0,0.0,0.0,0.0,0.0,108
2002-12-30,8-K,0000200406-02-000012,2,0,8,2,2,0.7067,0.0,2.8269,0.7067,283
2003-01-30,8-K,0000200406-03-000001,0,0,0,1,0,0.0,0.0,0.0,0.0,195
2003-03-12,8-K,0000200406-03-000002,0,0,0,1,0,0.0,0.0,0.0,0.0,133
2003-03-18,10-K,0000950123-03-002936,1,0,0,0,0,1.8868,0.0,0.0,1.8868,53
2003-04-16,8-K,0000200406-03-000006,0,0,0,1,0,0.0,0.0,0.0,0.0,172
2003-04-29,8-K,0000200406-03-000007,1,0,0,1,0,0.6623,0.0,0.0,0.6623,151
2003-05-14,10-Q,0000200406-03-000008,0,1,0,1,0,0.0,3.8462,0.0,-3.8462,26
2003-07-18,8-K,0000200406-03-000010,3,2,2,1,0,0.8646,0.5764,0.5764,0.2882,347
2003-08-11,10-Q,0000200406-03-000011,0,1,0,0,0,0.0,3.8462,0.0,-3.8462,26
2003-10-14,8-K,0000200406-03-000044,3,2,2,6,0,0.8403,0.5602,0.5602,0.2801,357
2003-11-12,10-Q,0000200406-03-000054,0,0,0,1,0,0.0,0.0,0.0,0.0,25
2004-01-16,8-K,0000200406-04-000009,0,0,0,1,0,0.0,0.0,0.0,0.0,102
2004-01-20,8-K,0000200406-04-000010,1,2,0,1,0,0.4,0.8,0.0,-0.4,250
2004-03-01,8-K,0000200406-04-000049,0,0,0,1,0,0.0,0.0,0.0,0.0,133
2004-03-01,8-K,0000200406-04-000048,1,0,0,1,0,1.0526,0.0,0.0,1.0526,95
2004-03-11,10-K,0000950123-04-003155,0,0,0,0,0,0.0,0.0,0.0,0.0,26
2004-04-05,8-K,0000200406-04-000071,1,1,0,1,0,0.6944,0.6944,0.0,0.0,144
2004-04-13,8-K,0000200406-04-000072,0,0,0,1,0,0.0,0.0,0.0,0.0,95
2004-04-26,8-K,0000200406-04-000073,1,0,0,1,0,1.0417,0.0,0.0,1.0417,96
2004-05-05,10-Q,0000200406-04-000081,40,22,16,2,2,2.3215,1.2768,0.9286,1.0447,1723
2004-07-15,8-K,0000200406-04-000105,0,0,0,1,0,0.0,0.0,0.0,0.0,95
2004-08-03,10-Q,0000200406-04-000106,0,0,0,1,0,0.0,0.0,0.0,0.0,32
2004-10-04,8-K,0000200406-04-000128,0,0,0,1,0,0.0,0.0,0.0,0.0,89
2004-10-06,8-K,0000200406-04-000131,0,0,0,2,0,0.0,0.0,0.0,0.0,115
2004-10-13,8-K,0000200406-04-000132,0,0,0,1,0,0.0,0.0,0.0,0.0,95
2004-11-03,10-Q,0000200406-04-000134,50,28,29,3,3,1.8861,1.0562,1.0939,0.8299,2651
2004-12-02,8-K,0000200406-04-000140,0,1,1,2,1,0.0,0.5556,0.5556,-0.5556,180
2004-12-08,8-K,0000200406-04-000142,0,1,1,2,1,0.0,0.4505,0.4505,-0.4505,222
2004-12-16,8-K,0000200406-04-000156,0,1,1,2,1,0.0,0.565,0.565,-0.565,177
2004-12-20,8-K,0000950157-04-001057,3,3,8,2,1,0.5208,0.5208,1.3889,0.0,576
2005-01-18,8-K,0000200406-05-000009,2,1,1,2,1,0.7812,0.3906,0.3906,0.3906,256
2005-01-19,8-K,0000200406-05-000013,1,1,3,2,1,0.5102,0.5102,1.5306,0.0,196
2005-01-26,8-K,0000200406-05-000014,0,1,1,2,1,0.0,0.5319,0.5319,-0.5319,188
2005-02-18,8-K,0000200406-05-000032,7,3,20,3,2,0.7964,0.3413,2.2753,0.4551,879
