date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
1994-02-09,10-Q,0000080424-94-000002,13,4,4,0,1,5.9091,1.8182,1.8182,4.0909,220
1994-04-13,8-K,0000080424-94-000008,0,0,0,0,0,0.0,0.0,0.0,0.0,63
1994-05-13,10-Q,0000080424-94-000012,9,2,2,0,0,3.1142,0.692,0.692,2.4221,289
1994-09-14,10-K,0000080424-94-000021,0,0,0,0,0,0.0,0.0,0.0,0.0,42
1994-11-10,10-Q,0000080424-94-000029,30,6,6,0,0,4.065,0.813,0.813,3.252,738
1995-01-26,8-K,0000080424-95-000002,0,0,0,0,0,0.0,0.0,0.0,0.0,78
1995-02-14,10-Q,0000080424-95-000004,51,9,10,0,0,5.1308,0.9054,1.006,4.2254,994
1995-05-11,10-Q,0000080424-95-000009,60,14,11,1,2,5.2265,1.2195,0.9582,4.007,1148
1995-09-13,10-K,0000080424-95-000027,4,0,4,0,3,1.1429,0.0,1.1429,1.1429,350
1995-11-13,10-Q,0000080424-95-000029,34,6,9,0,0,4.5213,0.7979,1.1968,3.7234,752
1996-02-13,10-Q,0000080424-96-000003,46,8,10,0,1,5.3302,0.927,1.1587,4.4032,863
1996-05-10,10-Q,0000080424-96-000006,51,14,8,0,0,5.6541,1.5521,0.8869,4.102,902
1996-09-11,10-K,0000080424-96-000017,4,0,4,0,3,1.1429,0.0,1.1429,1.1429,350
1996-11-13,10-Q,0000080424-96-000043,48,13,7,0,0,5.4176,1.4673,0.7901,3.9503,886
1996-11-18,8-K,0000080424-96-000045,0,0,2,1,0,0.0,0.0,1.8349,0.0,109
1996-12-03,8-K,0000080424-96-000050,0,0,1,1,0,0.0,0.0,0.9174,0.0,109
1996-12-16,8-K,0000080424-96-000052,0,0,1,1,0,0.0,0.0,0.9091,0.0,110
1996-12-20,8-K,0000080424-96-000054,0,0,1,1,0,0.0,0.0,0.9259,0.0,108
1997-01-07,8-K,0000080424-97-000001,0,0,1,1,0,0.0,0.0,0.9174,0.0,109
1997-01-17,8-K,0000080424-97-000002,0,0,1,1,0,0.0,0.0,0.9091,0.0,110
1997-01-28,8-K,0000080424-97-000003,0,0,1,1,0,0.0,0.0,0.9091,0.0,110
1997-02-11,10-Q,0000080424-97-000006,52,17,6,0,0,5.2472,1.7154,0.6054,3.5318,991
1997-02-21,8-K,0000080424-97-000012,0,0,1,1,0,0.0,0.0,0.9174,0.0,109
1997-03-04,8-K,0000080424-97-000013,0,0,1,1,0,0.0,0.0,0.9174,0.0,109
1997-03-24,8-K,0000080424-97-000014,0,0,1,1,0,0.0,0.0,0.9091,0.0,110
1997-04-07,8-K,0000080424-97-000015,0,0,1,1,0,0.0,0.0,0.885,0.0,113
1997-04-09,8-K,0000895345-97-000112,0,0,1,1,0,0.0,0.0,1.1236,0.0,89
1997-04-23,8-K,0000080424-97-000019,0,0,1,1,0,0.0,0.0,0.9091,0.0,110
1997-04-25,8-K,0000080424-97-000020,0,0,1,1,0,0.0,0.0,0.9174,0.0,109
1997-05-02,8-K,0000080424-97-000021,0,0,2,1,0,0.0,0.0,1.8349,0.0,109
1997-05-09,10-Q,0000080424-97-000023,49,12,9,1,0,4.5624,1.1173,0.838,3.4451,1074
1997-05-15,8-K,0000080424-97-000027,0,0,4,1,0,0.0,0.0,3.6364,0.0,110
1997-05-29,8-K,0000080424-97-000030,0,0,5,1,0,0.0,0.0,4.4643,0.0,112
1997-06-16,8-K,0000080424-97-000031,0,0,1,1,0,0.0,0.0,0.9009,0.0,111
1997-06-18,8-K,0000080424-97-000032,0,0,1,1,0,0.0,0.0,0.9174,0.0,109
1997-06-27,8-K,0000080424-97-000047,0,0,1,1,0,0.0,0.0,0.9174,0.0,109
1997-07-08,8-K,0000080424-97-000050,0,0,0,1,0,0.0,0.0,0.0,0.0,78
1997-07-11,8-K,0000080424-97-000053,0,0,1,1,0,0.0,0.0,0.9174,0.0,109
1997-07-22,8-K,0000080424-97-000054,0,0,1,1,0,0.0,0.0,0.9009,0.0,111
1997-08-27,8-K,0000080424-97-000057,0,0,1,1,0,0.0,0.0,0.9091,0.0,110
1997-09-02,8-K,0000080424-97-000060,0,0,1,1,0,0.0,0.0,0.9174,0.0,109
1997-09-10,10-K,0000080424-97-000062,4,1,4,0,3,1.1331,0.2833,1.1331,0.8499,353
