date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
1995-04-27,10-K,0000104169-95-000004,0,0,0,0,1,0.0,0.0,0.0,0.0,45
1995-05-19,8-K,0000899243-95-000310,0,0,4,1,0,0.0,0.0,2.7211,0.0,147
1995-06-09,10-Q,0000104169-95-000005,23,4,7,0,0,3.3237,0.578,1.0116,2.7457,692
1995-09-11,10-Q,0000104169-95-000006,20,4,5,0,0,2.5,0.5,0.625,2.0,800
1995-12-05,10-Q,0000104169-95-000007,25,8,7,0,3,2.3277,0.7449,0.6518,1.5829,1074
1996-04-23,10-K,0000104169-96-000002,0,0,0,0,1,0.0,0.0,0.0,0.0,45
1996-06-12,10-Q,0000104169-96-000006,21,9,4,0,3,2.6515,1.1364,0.5051,1.5152,792
1996-09-10,10-Q,0000104169-96-000007,19,7,5,0,3,2.1889,0.8065,0.576,1.3825,868
1996-12-12,10-Q,0000104169-96-000008,26,5,4,0,3,2.7867,0.5359,0.4287,2.2508,933
1997-04-21,10-K,0000104169-97-000003,0,0,0,0,1,0.0,0.0,0.0,0.0,45
1997-06-10,10-Q,0000104169-97-000004,15,11,6,0,2,1.7857,1.3095,0.7143,0.4762,840
1997-09-09,10-Q,0000104169-97-000007,23,7,6,0,4,2.0591,0.6267,0.5372,1.4324,1117
1997-12-10,10-Q,0000104169-97-000008,26,7,7,0,6,2.0521,0.5525,0.5525,1.4996,1267
1998-02-05,8-K,0000930661-98-000241,0,0,0,1,0,0.0,0.0,0.0,0.0,150
1998-04-23,10-K,0000104169-98-000003,0,0,0,0,1,0.0,0.0,0.0,0.0,45
1998-06-04,8-K,0000930661-98-001304,0,0,2,1,0,0.0,0.0,0.5333,0.0,375
1998-06-09,8-K,0000930661-98-001321,0,0,0,1,0,0.0,0.0,0.0,0.0,239
1998-06-15,10-Q,0000104169-98-000005,34,5,11,0,3,2.6984,0.3968,0.873,2.3016,1260
1998-09-14,10-Q,0000104169-98-000008,42,9,29,0,5,2.1309,0.4566,1.4713,1.6743,1971
1998-12-14,10-Q,0000104169-98-000009,45,9,27,0,5,2.0482,0.4096,1.2289,1.6386,2197
1999-04-19,10-K,0000104169-99-000002,0,0,0,0,1,0.0,0.0,0.0,0.0,45
1999-06-07,10-Q,0000104169-99-000003,44,13,20,1,2,2.2553,0.6663,1.0251,1.5889,1951
1999-08-11,8-K,0000930661-99-001850,5,1,10,1,2,0.8333,0.1667,1.6667,0.6667,600
1999-09-10,10-Q,0000104169-99-000006,83,32,63,24,15,1.698,0.6547,1.2889,1.0434,4888
1999-12-15,10-Q,0000104169-99-000008,88,33,87,20,11,1.6012,0.6004,1.583,1.0007,5496
2000-02-08,8-K,0000930661-00-000171,0,2,0,1,0,0.0,1.0929,0.0,-1.0929,183
2000-04-17,10-K,0000104169-00-000002,44,9,35,15,15,0.86,0.1759,0.6841,0.6841,5116
