date,open,high,low,close,volume,daily_return,gap_pct,close_lag1,close_lag5,close_lag10,ma_7,ma_20,ma_50,ma_200,volatility_20,volatility_30,avg_volume_20,volume_ratio_20,momentum_5d,momentum_10d,distance_from_ma20,distance_from_ma50,upper_band_20,lower_band_20,rsi_14,market_regime,day_of_week,month,quarter,next_day_close,next_day_return,target_direction,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,lm_sentiment_ma5,lm_sentiment_ma20,lm_sentiment_delta,lm_uncertainty_zscore,lm_litigation_spike,lm_neg_dominant
1994-01-03,5.026212,5.040291,4.998054,5.012133,5416800,-0.2801,0.0,5.02621,4.983979,4.800948,5.01,4.93,4.81,4.72,0.0785,0.1056,5628920,0.96,0.56,4.4,1.67,4.2,5.09,4.77,55.77,Bull,1,1,1,4.969898,-0.8427,0,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-04,5.012135,5.012135,4.955819,4.969898,4499200,-0.8427,0.0,5.012133,5.02621,4.829106,5.02,4.94,4.81,4.72,0.0785,0.1055,5539920,0.81,-1.12,2.92,0.61,3.32,5.1,4.78,56.86,Bull,2,1,1,4.843185,-2.5496,0,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-05,4.969897,4.969897,4.829106,4.843185,7404800,-2.5496,0.0,4.969898,5.068449,4.899502,5.0,4.93,4.81,4.72,0.081,0.1016,5657380,1.31,-4.44,-1.15,-1.76,0.69,5.09,4.77,52.73,Bull,3,1,1,4.744634,-2.0348,0,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-06,4.843187,4.899503,4.730555,4.744634,11023200,-2.0348,0.0,4.843185,5.05437,4.955817,4.96,4.92,4.81,4.72,0.091,0.1014,5909620,1.87,-6.13,-4.26,-3.56,-1.36,5.1,4.74,41.07,Bull,4,1,1,4.800948,1.1869,1,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-07,4.744632,4.829106,4.744632,4.800948,9138400,1.1869,0.0,4.744634,5.02621,4.899502,4.92,4.91,4.81,4.72,0.0948,0.0984,6045380,1.51,-4.48,-2.01,-2.22,-0.19,5.1,4.72,50.0,Bull,5,1,1,4.885422,1.7595,1,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-10,4.800948,4.899501,4.77279,4.885422,6259600,1.7595,0.0,4.800948,5.012133,4.983979,4.9,4.91,4.81,4.73,0.095,0.0954,6167320,1.01,-2.53,-1.98,-0.5,1.57,5.1,4.72,53.45,Bull,1,1,1,4.815028,-1.4409,0,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-11,4.885423,4.885423,4.800949,4.815028,5394400,-1.4409,0.0,4.885422,4.969898,5.02621,4.87,4.91,4.81,4.73,0.0975,0.0932,6251000,0.86,-3.12,-4.2,-1.93,0.1,5.11,4.72,44.83,Bull,2,1,1,4.871344,1.1696,1,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-12,4.815028,4.885423,4.800948,4.871344,4326000,1.1696,0.0,4.815028,4.843185,5.068449,4.85,4.91,4.81,4.73,0.0975,0.0881,6146800,0.7,0.58,-3.89,-0.79,1.28,5.11,4.72,44.83,Bull,3,1,1,4.800948,-1.4451,0,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-13,4.843185,4.843185,4.800948,4.800948,3869600,-1.4451,-0.5781,4.871344,4.744634,5.05437,4.82,4.91,4.81,4.73,0.0975,0.0862,5994060,0.65,1.19,-5.01,-2.22,-0.19,5.11,4.72,44.07,Bull,4,1,1,4.78687,-0.2932,0,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-14,4.800949,4.815028,4.758711,4.78687,6550800,-0.2932,0.0,4.800948,4.800948,5.02621,4.82,4.9,4.82,4.73,0.1011,0.0862,6025000,1.09,-0.29,-4.76,-2.31,-0.69,5.1,4.7,37.04,Bull,5,1,1,4.688314,-2.0589,0,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-17,4.75871,4.75871,4.688314,4.688314,5205600,-2.0589,-0.5883,4.78687,4.885422,5.012133,4.81,4.9,4.82,4.73,0.1099,0.0936,5756200,0.9,-4.03,-6.46,-4.32,-2.73,5.12,4.68,29.31,Bear,1,1,1,4.617918,-1.5015,0,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-18,4.660155,4.660155,4.533444,4.617918,12035200,-1.5015,-0.6006,4.688314,4.815028,4.969898,4.78,4.89,4.82,4.73,0.1259,0.1064,6174240,1.95,-4.09,-7.08,-5.56,-4.19,5.14,4.64,23.33,Bear,2,1,1,4.674238,1.2196,1,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
1994-01-19,4.617922,4.702396,4.589764,4.674238,6890400,1.2196,0.0001,4.617918,4.871344,4.843185,4.75,4.88,4.82,4.73,0.1345,0.1122,6279380,1.1,-4.05,-3.49,-4.22,-3.02,5.15,4.61,28.57,Bear,3,1,1,4.660158,-0.3012,0,2.0,5.0,0.0,1.0,0.0,0.6349,1.5873,0.0,-0.9524,-0.9524,-0.9524,0.0,0.0,0,1
